# log10(S_Jy) cmp_perc cmp_err_perc
-3.0000 0.38 0.04
-2.9000 0.54 0.05
-2.8000 0.83 0.06
-2.7000 1.31 0.07
-2.6000 2.14 0.09
-2.5000 4.66 0.14
-2.4000 11.29 0.21
-2.3000 26.49 0.33
-2.2000 49.65 0.45
-2.1000 70.14 0.53
-2.0000 83.50 0.58
-1.9000 90.60 0.60
-1.8000 93.70 0.61
-1.7000 94.96 0.62
-1.6000 95.75 0.62
-1.5000 96.40 0.62
-1.4000 96.90 0.62
-1.3000 97.36 0.62
-1.2000 97.69 0.63
-1.1000 98.04 0.63
-1.0000 98.32 0.63
-0.9000 98.55 0.63
-0.8000 98.70 0.63
-0.7000 98.88 0.63
-0.6000 99.00 0.63
-0.5000 99.12 0.63
