Tile North East Height TileName
51 124.801 -55.56 376.803 Tile051
52 -43.377 177.467 375.005 Tile052
53 77.005 -21.71 376.351 Tile053
54 -80.565 91.809 375.76 Tile054
55 -259.929 153.7 376.476 Tile055
56 -22.361 -67.582 376.175 Tile056
57 -39.873 -118.037 376.054 Tile057
58 125.197 -87.516 377.031 Tile058
71 189.795 -195.98 377.161 Tile071
72 95.15 -198.194 377.024 Tile072
73 -196.181 -284.457 374.901 Tile073
74 -44.022 -388.152 375.372 Tile074
75 -15.933 -452.686 375.111 Tile075
76 185.187 -468.817 374.752 Tile076
77 183.098 -364.524 375.739 Tile077
78 266.484 -369.608 375.24 Tile078
101 632.503 -518.046 372.604 Tile101
102 604.568 -489.943 372.907 Tile102
104 -101.53 -585.675 375.212 Tile104
105 142.255 -653.467 374.462 Tile105
106 212.168 -685.027 374.236 Tile106
107 87.018 -1079.6 377.009 Tile107
108 574.527 -1026.07 374.039 Tile108
111 1660.73 -333.758 371.068 Tile111
112 898.129 -227.151 373.694 Tile112
113 781.638 -173.717 374.217 Tile113
114 892.005 -256.952 373.492 Tile114
115 762.893 -195.018 374.093 Tile115
116 731.709 -249.647 373.797 Tile116
117 704.326 -300.696 373.514 Tile117
118 1088.14 -889.471 370.381 Tile118
121 1405.26 716.393 374.602 Tile121
122 618.265 288.066 375.134 Tile122
123 768.413 238.31 375.805 Tile123
124 819.724 227.878 375.748 Tile124
125 815.255 61.443 376.001 Tile125
126 810.53 -58.874 375.17 Tile126
127 950.242 35.224 376.275 Tile127
128 1412.36 1.015 373.682 Tile128
131 990.227 839.943 372.696 Tile131
132 858.632 1177.29 372.122 Tile132
133 553.372 1313.61 370.354 Tile133
134 244.485 556.122 372.284 Tile134
135 359.21 571.541 372.509 Tile135
136 424.98 488.857 372.967 Tile136
137 539.194 528.598 372.789 Tile137
138 652.864 381.069 374.251 Tile138
141 151.76 1100.94 369.065 Tile141
142 -443.25 1201.13 368.328 Tile142
143 -264.594 498.629 373.22 Tile143
144 -48.952 301.193 374.618 Tile144
145 -38.415 370.648 374.34 Tile145
146 -91.152 544.324 372.812 Tile146
147 -3.216 506.793 372.803 Tile147
148 75.494 523.727 372.613 Tile148
151 -1037.75 653.774 371.071 Tile151
152 -835.306 442.99 372.251 Tile152
153 -505.332 -58.801 372.913 Tile153
154 -405.05 37.065 374.034 Tile154
155 -357.891 232.842 375.262 Tile155
156 -366.453 257.984 375.221 Tile156
157 -318.508 325.688 375.029 Tile157
158 -306.307 326.101 375.128 Tile158
161 -409.06 -412.457 373.969 Tile161
162 -420.261 -141.898 373.503 Tile162
163 -817.324 -480.27 375.72 Tile163
164 -863.782 -575.533 375.522 Tile164
165 -638.871 -674.021 375.34 Tile165
166 -245.107 -631.403 375.544 Tile166
167 -169.362 -633.237 375.616 Tile167
168 -257.66 -568.54 375.246 Tile168
999 0.9 -8.5 383.7 RFIpole
2001 206.85 -1999.81 372.92 LBA1
2002 53.59 -1770.14 374.44 LBA2
2003 -64.26 -1600.21 375.54 LBA3
2004 -194.32 -1473.17 376.22 LBA4
2005 -453.65 -1367.27 374.91 LBA5
2006 -569.74 -1172.92 374.77 LBA6
2007 -698.66 -1100.97 374.12 LBA7
2008 -779.73 -889.29 374.41 LBA8
2009 2563.46 -829.33 369.52 LBB1
2010 2829.62 -330.61 373.37 LBB2
2011 2039.45 -455.36 370.95 LBB3
2012 2644.3 -175.09 373.96 LBB4
2013 2142.93 -52.55 373.19 LBB5
2014 2535.7 776.55 377.7 LBB6
2015 2352.17 520.82 376.35 LBB7
2016 1962.28 327.91 374.38 LBB8
2017 1536.78 363.95 374.63 LBC1
2018 2181.3 875.57 377.05 LBC2
2019 1687.73 879.78 376.53 LBC3
2020 2458.85 1360.97 380.61 LBC4
2021 2153.35 1683.51 380.99 LBC5
2022 1863.8 1371.37 378.97 LBC6
2023 1497.8 1631.27 376.74 LBC7
2024 1387.35 1224.7 376.46 LBC8
2025 1247.36 1907.59 375.33 LBD1
2026 1775.43 2054.93 378.58 LBD2
2027 2214.24 2400.04 380.84 LBD3
2028 1785.7 2441.55 377.35 LBD4
2029 1367.78 2346.29 375.66 LBD5
2030 1905.8 2770.82 378.43 LBD6
2031 1640.33 3105.64 376.8 LBD7
2032 1455.11 2872.28 376.45 LBD8
2033 845.05 1654.37 372.22 LBE1
2034 629.74 1994.47 373.7 LBE2
2035 1026.38 2327.42 374.52 LBE3
2036 408.81 2238.17 371.5 LBE4
2037 931.59 2698.58 373.23 LBE5
2038 572.92 2670.33 371.79 LBE6
2039 23.61 2405.67 369.35 LBE7
2040 1095.29 3029.46 373.69 LBE8
2041 -812.85 803.01 371.04 LBF1
2042 179.53 1471.78 369.24 LBF2
2043 -691.74 1177.92 368.31 LBF3
2044 -478.33 1677.27 366.65 LBF4
2045 -932.27 1559.38 367.41 LBF5
2046 -106.66 1881.27 368.26 LBF6
2047 -251.75 2285.48 367.95 LBF7
2048 -940.61 1991.31 365.15 LBF8
2049 -991.57 165.76 370.3 LBG1
2050 -1486.98 511.31 368.75 LBG2
2051 -2065.83 338.49 365.99 LBG3
2052 -1408.62 805.81 367.88 LBG4
2053 -1139.39 1105.72 370.54 LBG5
2054 -1975.87 931.99 365.39 LBG6
2055 -1867.29 1336.34 366.17 LBG7
2056 -1355.78 1664.29 365.88 LBG8
