East North Alt Name
-55.560 124.800 0.0 Tile51
177.470 -43.380 0.0 Tile52
-21.710 77.010 0.0 Tile53
91.810 -80.570 0.0 Tile54
153.700 -259.930 0.0 Tile55
-67.580 -22.360 0.0 Tile56
-118.040 -39.870 0.0 Tile57
-87.520 125.200 0.0 Tile58
-195.980 189.800 0.0 Tile71
-198.190 95.150 0.0 Tile72
-284.460 -196.180 0.0 Tile73
-388.150 -44.020 0.0 Tile74
-452.690 -15.930 0.0 Tile75
-468.820 185.190 0.0 Tile76
-364.520 183.100 0.0 Tile77
-369.610 266.480 0.0 Tile78
-518.050 632.500 0.0 Tile101
-489.940 604.570 0.0 Tile102
-575.560 415.010 0.0 Tile103
-585.680 -101.530 0.0 Tile104
-653.470 142.260 0.0 Tile105
-685.030 212.170 0.0 Tile106
-1079.600 87.020 0.0 Tile107
-1026.070 574.530 0.0 Tile108
-333.760 1660.730 0.0 Tile111
-227.150 898.130 0.0 Tile112
-173.720 781.640 0.0 Tile113
-256.950 892.010 0.0 Tile114
-195.020 762.890 0.0 Tile115
-249.650 731.710 0.0 Tile116
-300.700 704.330 0.0 Tile117
-889.470 1088.140 0.0 Tile118
716.390 1405.260 0.0 Tile121
288.070 618.270 0.0 Tile122
238.310 768.410 0.0 Tile123
227.880 819.720 0.0 Tile124
61.440 815.260 0.0 Tile125
-58.870 810.530 0.0 Tile126
35.220 950.240 0.0 Tile127
1.020 1412.360 0.0 Tile128
839.940 990.230 0.0 Tile131
1177.290 858.630 0.0 Tile132
1313.610 553.370 0.0 Tile133
556.120 244.490 0.0 Tile134
571.540 359.210 0.0 Tile135
488.860 424.980 0.0 Tile136
528.600 539.190 0.0 Tile137
381.070 652.860 0.0 Tile138
1100.940 151.760 0.0 Tile141
1201.130 -443.250 0.0 Tile142
498.630 -264.590 0.0 Tile143
301.190 -48.950 0.0 Tile144
370.650 -38.420 0.0 Tile145
544.320 -91.150 0.0 Tile146
506.790 -3.220 0.0 Tile147
523.730 75.490 0.0 Tile148
653.770 -1037.750 0.0 Tile151
442.990 -835.310 0.0 Tile152
-58.800 -505.330 0.0 Tile153
37.070 -405.050 0.0 Tile154
232.840 -357.890 0.0 Tile155
257.980 -366.450 0.0 Tile156
325.690 -318.510 0.0 Tile157
326.100 -306.310 0.0 Tile158
-412.460 -409.060 0.0 Tile161
-141.900 -420.260 0.0 Tile162
-480.270 -817.320 0.0 Tile163
-575.530 -863.780 0.0 Tile164
-674.020 -638.870 0.0 Tile165
-631.400 -245.110 0.0 Tile166
-633.240 -169.360 0.0 Tile167
-568.540 -257.660 0.0 Tile168
168.150 -1018.990 0.0 Tilelbese2
794.280 -806.810 0.0 TileLBNE6
1197.780 -683.800 0.0 TileLBSE1
1674.750 -467.630 0.0 Tilelbese6
1471.120 172.880 0.0 TileLBESE1
-328.530 2834.520 0.0 Tilelbn2
876.130 2182.220 0.0 Tilelbnne2
672.530 2797.730 0.0 Tilelbn4
1361.980 2462.000 0.0 Tilelbnne3
1677.340 2159.950 0.0 Tilelbnne4
892.870 1691.160 0.0 Tilelbnne7
1636.910 1498.350 0.0 Tilelbnne5
1880.690 -104.300 0.0 Tilelbese4
2288.180 -255.020 0.0 Tilelbese5
2408.460 26.800 0.0 Tilelbese3
2240.680 412.000 0.0 Tilelbe7
2702.840 934.850 0.0 Tilelbe5
3030.810 1098.170 0.0 Tilelbe4
3104.750 1641.830 0.0 Tilelbne4
1987.810 -927.050 0.0 Tilelbese7
1648.220 -1367.270 0.0 Tilelbse2
1111.150 -1147.790 0.0 Tilelbse3
819.270 -1398.740 0.0 Tilelbse5
1329.020 -1854.260 0.0 Tilelbse4
324.110 -2070.870 0.0 Tilelbse8
517.910 -1485.110 0.0 Tilelbse6
-1762.130 58.070 0.0 Tilelbsw7
-1596.080 -68.110 0.0 Tilelbsw6
-1475.940 -188.980 0.0 Tilelbsw5
-1358.070 -452.500 0.0 Tilelbsw4
-1170.780 -564.930 0.0 Tilelbsw3
-1098.760 -688.370 0.0 Tilelbsw2
-886.390 -775.260 0.0 Tilelbsw1
1642.140 851.350 0.0 TileLBE1
1922.540 1265.610 0.0 TileLBE2
2327.600 1024.860 0.0 TileLBE3
2669.920 583.170 0.0 TileLBE6
1992.910 622.240 0.0 TileLBE8
1563.410 -929.250 0.0 TileLBESE8
-809.940 2564.340 0.0 TileLBN1
208.190 2670.470 0.0 TileLBN3
499.620 2357.470 0.0 TileLBN5
331.510 1959.630 0.0 TileLBN6
-51.470 2189.220 0.0 TileLBN7
-432.900 2050.640 0.0 TileLBN8
2054.310 1772.600 0.0 TileLBNE1
2410.910 2213.580 0.0 TileLBNE2
2857.350 1959.410 0.0 TileLBNE3
2878.440 1445.630 0.0 TileLBNE5
2344.690 1364.670 0.0 TileLBNE7
2447.230 1789.490 0.0 TileLBNE8
379.460 1543.310 0.0 TileLBNNE1
1225.220 1378.660 0.0 TileLBNNE6
1360.010 1857.330 0.0 TileLBNNE8
942.320 -1979.320 0.0 TileLBSE7
-1932.080 183.670 0.0 TileLBSW8
